"register","Factor1","Factor2","Factor3"
"advice",0.651796766757564,0.0346097586420913,-0.657311058202486
"comments",0.129330937340564,0.612766254188147,-0.126664525831136
"description_person",-0.557393243901483,-0.382534974399506,0.846031324321253
"desription_sale",-0.45765792353649,-0.360307516657863,-0.71684865335323
"discussion",1.19204071232574,-0.582026119435547,-0.15607511020273
"encyclopedia",-0.988494110956562,0.0413225080844524,0.201018260496954
"faq",-0.417204128171707,0.485298622847642,-0.815308175207255
"informational_blog",-0.422651638241842,0.295624668305978,-0.523176610136283
"news",-0.569816401110681,0.102277553096813,0.276203588522858
"opinion_blog",0.0622047041068056,0.250726387940358,-0.135223047852576
"personal_blog",0.993400414494271,-0.664661605753801,0.349466441567804
"recipe",0.623193107017694,-1.52529428370657,-0.653476168212658
"religious_sermon",0.276538058778759,0.0207580962806706,0.0441634362777852
"research",-1.82493702121558,1.40408779564283,-0.0457598170840045
"review",0.168141343034553,-0.419506776994618,-0.289153234391264
"sports",0.285356301815321,-0.806282764893296,0.332747113151097
"travel_blog",0.288852181648621,-0.907873283767753,0.278903737452472
